WY,Date,Q_mean
1914,8/23/1914,1620
1914,8/24/1914,1820
1914,8/25/1914,2040
1914,8/26/1914,1820
1914,8/27/1914,1820
1914,8/28/1914,2040
1914,8/29/1914,2040
1914,8/30/1914,2620
1914,8/31/1914,2460
1914,9/1/1914,3090
1914,9/2/1914,2620
1914,9/3/1914,2310
1914,9/4/1914,2460
1914,9/5/1914,1930
1914,9/6/1914,1930
1914,9/7/1914,2770
1914,9/8/1914,1520
1914,9/9/1914,1230
1914,9/10/1914,1230
1914,9/11/1914,1320
1914,9/12/1914,1230
1914,9/13/1914,1620
1914,9/14/1914,1720
1914,9/15/1914,1820
1914,9/16/1914,1720
1914,9/17/1914,1420
1914,9/18/1914,1320
1914,9/19/1914,1230
1914,9/20/1914,1320
1914,9/21/1914,1420
1914,9/22/1914,1320
1914,9/23/1914,1320
1914,9/24/1914,1520
1914,9/25/1914,1420
1914,9/26/1914,1820
1914,9/27/1914,1520
1914,9/28/1914,1820
1914,9/29/1914,1520
1914,9/30/1914,1520
1915,10/1/1914,1140
1915,10/2/1914,1320
1915,10/3/1914,1420
1915,10/4/1914,1230
1915,10/5/1914,1320
1915,10/6/1914,1320
1915,10/7/1914,1420
1915,10/8/1914,5140
1915,10/9/1914,3090
1915,10/10/1914,2620
1915,10/11/1914,2460
1915,10/12/1914,2160
1915,10/13/1914,1520
1915,10/14/1914,1720
1915,10/15/1914,1320
1915,10/16/1914,5870
1915,10/17/1914,8210
1915,10/18/1914,21400
1915,10/19/1914,10900
1915,10/20/1914,6620
1915,10/21/1914,5140
1915,10/22/1914,3410
1915,10/23/1914,2460
1915,10/24/1914,2620
1915,10/25/1914,2310
1915,10/26/1914,2160
1915,10/27/1914,2460
1915,10/28/1914,2930
1915,10/29/1914,2770
1915,10/30/1914,2460
1915,10/31/1914,2360
1915,11/1/1914,2360
1915,11/2/1914,2160
1915,11/3/1914,1620
1915,11/4/1914,1520
1915,11/5/1914,2160
1915,11/6/1914,2160
1915,11/7/1914,2020
1915,11/8/1914,2360
1915,11/9/1914,1880
1915,11/10/1914,2360
1915,11/11/1914,2360
1915,11/12/1914,2460
1915,11/13/1914,2360
1915,11/14/1914,2360
1915,11/15/1914,2620
1915,11/16/1914,6620
1915,11/17/1914,9960
1915,11/18/1914,11900
1915,11/19/1914,10900
1915,11/20/1914,5870
1915,11/21/1914,3740
1915,11/22/1914,3410
1915,11/23/1914,2930
1915,11/24/1914,2460
1915,11/25/1914,2310
1915,11/26/1914,2930
1915,11/27/1914,2770
1915,11/28/1914,2770
1915,11/29/1914,2770
1915,11/30/1914,2620
1915,12/1/1914,2160
1915,12/2/1914,2020
1915,12/3/1914,6240
1915,12/4/1914,10900
1915,12/5/1914,8210
1915,12/6/1914,8210
1915,12/7/1914,40600
1915,12/8/1914,35100
1915,12/9/1914,15300
1915,12/10/1914,10900
1915,12/11/1914,9060
1915,12/12/1914,8210
1915,12/13/1914,8210
1915,12/14/1914,9060
1915,12/15/1914,14700
1915,12/16/1914,11900
1915,12/17/1914,9500
1915,12/18/1914,8210
1915,12/19/1914,7400
1915,12/20/1914,5870
1915,12/21/1914,6620
1915,12/22/1914,11400
1915,12/23/1914,13000
1915,12/24/1914,13000
1915,12/25/1914,11900
1915,12/26/1914,19200
1915,12/27/1914,28200
1915,12/28/1914,20600
1915,12/29/1914,14200
1915,12/30/1914,19900
1915,12/31/1914,34200
1915,1/1/1915,27400
1915,1/2/1915,20600
1915,1/3/1915,14700
1915,1/4/1915,10900
1915,1/5/1915,9960
1915,1/6/1915,9060
1915,1/7/1915,9960
1915,1/8/1915,41600
1915,1/9/1915,57500
1915,1/10/1915,72300
1915,1/11/1915,38800
1915,1/12/1915,14700
1915,1/13/1915,46400
1915,1/14/1915,53300
1915,1/15/1915,35100
1915,1/16/1915,20600
1915,1/17/1915,14700
1915,1/18/1915,11900
1915,1/19/1915,30700
1915,1/20/1915,36000
1915,1/21/1915,26600
1915,1/22/1915,17900
1915,1/23/1915,13600
1915,1/24/1915,9960
1915,1/25/1915,10900
1915,1/26/1915,13600
1915,1/27/1915,14200
1915,1/28/1915,13000
1915,1/29/1915,10900
1915,1/30/1915,9960
1915,1/31/1915,9060
1915,2/1/1915,9060
1915,2/2/1915,15300
1915,2/3/1915,56400
1915,2/4/1915,57500
1915,2/5/1915,38800
1915,2/6/1915,21400
1915,2/7/1915,15900
1915,2/8/1915,14200
1915,2/9/1915,11900
1915,2/10/1915,10900
1915,2/11/1915,9960
1915,2/12/1915,9060
1915,2/13/1915,9060
1915,2/14/1915,8210
1915,2/15/1915,4780
1915,2/16/1915,9060
1915,2/17/1915,10900
1915,2/18/1915,10900
1915,2/19/1915,9960
1915,2/20/1915,8630
1915,2/21/1915,8210
1915,2/22/1915,7400
1915,2/23/1915,7400
1915,2/24/1915,7400
1915,2/25/1915,13600
1915,2/26/1915,33300
1915,2/27/1915,27400
1915,2/28/1915,15300
1915,3/1/1915,11900
1915,3/2/1915,9960
1915,3/3/1915,9060
1915,3/4/1915,8210
1915,3/5/1915,8210
1915,3/6/1915,8210
1915,3/7/1915,15900
1915,3/8/1915,13600
1915,3/9/1915,17900
1915,3/10/1915,15300
1915,3/11/1915,12500
1915,3/12/1915,10900
1915,3/13/1915,9500
1915,3/14/1915,9060
1915,3/15/1915,8630
1915,3/16/1915,7800
1915,3/17/1915,8630
1915,3/18/1915,9960
1915,3/19/1915,8210
1915,3/20/1915,9060
1915,3/21/1915,7400
1915,3/22/1915,8210
1915,3/23/1915,6620
1915,3/24/1915,7800
1915,3/25/1915,7400
1915,3/26/1915,6620
1915,3/27/1915,4780
1915,3/28/1915,6620
1915,3/29/1915,4780
1915,3/30/1915,4080
1915,3/31/1915,6620
1915,4/1/1915,5500
1915,4/2/1915,5870
1915,4/3/1915,6620
1915,4/4/1915,8630
1915,4/5/1915,11900
1915,4/6/1915,13000
1915,4/7/1915,11900
1915,4/8/1915,10900
1915,4/9/1915,9960
1915,4/10/1915,8210
1915,4/11/1915,5870
1915,4/12/1915,7010
1915,4/13/1915,9960
1915,4/14/1915,9960
1915,4/15/1915,9060
1915,4/16/1915,8210
1915,4/17/1915,6620
1915,4/18/1915,8210
1915,4/19/1915,7400
1915,4/20/1915,4960
1915,4/21/1915,4430
1915,4/22/1915,5140
1915,4/23/1915,4780
1915,4/24/1915,4430
1915,4/25/1915,5500
1915,4/26/1915,4780
1915,4/27/1915,4600
1915,4/28/1915,5320
1915,4/29/1915,4600
1915,4/30/1915,4600
1915,5/1/1915,4260
1915,5/2/1915,4430
1915,5/3/1915,4780
1915,5/4/1915,4080
1915,5/5/1915,4430
1915,5/6/1915,4780
1915,5/7/1915,4260
1915,5/8/1915,4780
1915,5/9/1915,5140
1915,5/10/1915,6240
1915,5/11/1915,5870
1915,5/12/1915,6240
1915,5/13/1915,5140
1915,5/14/1915,5320
1915,5/15/1915,5870
1915,5/16/1915,4780
1915,5/17/1915,4260
1915,5/18/1915,4780
1915,5/19/1915,3740
1915,5/20/1915,3580
1915,5/21/1915,3740
1915,5/22/1915,3580
1915,5/23/1915,2620
1915,5/24/1915,3580
1915,5/25/1915,3250
1915,5/26/1915,3580
1915,5/27/1915,3410
1915,5/28/1915,3910
1915,5/29/1915,3740
1915,5/30/1915,6620
1915,5/31/1915,7400
1915,6/1/1915,5140
1915,6/2/1915,11400
1915,6/3/1915,53300
1915,6/4/1915,60800
1915,6/5/1915,60800
1915,6/6/1915,17900
1915,6/7/1915,13000
1915,6/8/1915,5140
1915,6/9/1915,4430
1915,6/10/1915,6620
1915,6/11/1915,5870
1915,6/12/1915,4780
1915,6/13/1915,4960
1915,6/14/1915,4080
1915,6/15/1915,3740
1915,6/16/1915,5500
1915,6/17/1915,4430
1915,6/18/1915,4780
1915,6/19/1915,5870
1915,6/20/1915,4430
1915,6/21/1915,3740
1915,6/22/1915,3740
1915,6/23/1915,3580
1915,6/24/1915,3410
1915,6/25/1915,2930
1915,6/26/1915,2770
1915,6/27/1915,2620
1915,6/28/1915,2460
1915,6/29/1915,2310
1915,6/30/1915,1750
1915,7/1/1915,2620
1915,7/2/1915,2310
1915,7/3/1915,2160
1915,7/4/1915,2620
1915,7/5/1915,2770
1915,7/6/1915,3410
1915,7/7/1915,3910
1915,7/8/1915,6240
1915,7/9/1915,5500
1915,7/10/1915,4780
1915,7/11/1915,3410
1915,7/12/1915,2770
1915,7/13/1915,2460
1915,7/14/1915,3090
1915,7/15/1915,2770
1915,7/16/1915,3410
1915,7/17/1915,3250
1915,7/18/1915,2460
1915,7/19/1915,2310
1915,7/20/1915,3250
1915,7/21/1915,3090
1915,7/22/1915,3740
1915,7/23/1915,5320
1915,7/24/1915,5140
1915,7/25/1915,4080
1915,7/26/1915,3090
1915,7/27/1915,2930
1915,7/28/1915,2460
1915,7/29/1915,2460
1915,7/30/1915,2310
1915,7/31/1915,2020
1915,8/1/1915,3410
